Category Code,Product Code,Name,Description,Scan Identifier,Requires Customization,Length (mm),Width (mm),Height (mm),Weight (gms),EAN,UPC,ISBN,Color,Size,Brand,Item Detail Fields,Tags,Image Url,Product Page Url,Tax Type Code,Base Price,Cost Price,MRP,Updated,Category Name,Enabled,Type,TAT,Component Product Code,Component Quantity,Component Price,Virtual Inventory
VK_AU,VKAMEXHAUST0005,Autofy Dolphin Matte Black Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),B01M7SB2UV,B01M7SB2UV,FALSE,1,1,1,1,1,SDL286924641,Autofy - India,Matt Black,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0005/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0005/,,,,4999,13/01/2017 14:35,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMEXHAUST0006,Autofy Dolphin Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),B01M66OM77,B01M66OM77,FALSE,1,1,1,1,1,SDL060796695,Autofy - India,Chrome,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0006/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0006/,,,,4999,11/01/2017 18:27,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMEXHAUST0010,Autofy Tail Gunner Full Chrome Silencer / Exhaust / Muffler for Royal Enfield Bullet Standard  Royal Enfield Bullet Classic  Royal Enfield Bullet Electra  Royal Enfield Thunderbird (with Glasswool),,B01M276GQ0,FALSE,1,1,1,1,1,SDL771838196,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0010/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMEXHAUST0010/,,,,5499,01/02/2017 14:53,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMMASK0002,Autofy Face Mask / Balaclava Free Size for Bike Riders (Black - Front Closed),B01M66OH2L,B01M66OH2L,FALSE,1,1,1,1,1,,China Fabrics,Black,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMMASK0002/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMMASK0002/,,,,299,03/02/2017 17:07,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMHANDLE0001,Autofy Golden 3 Piece Universal Handle Bar (For All Bikes),B01M5DZTFV,B01M5DZTFV,FALSE,1,1,1,1,Set of 3,SDL043432502,HandleBar Company-China,Golden,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0001/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0001/,,,,2499,10/01/2017 10:09,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMHANDLE0002,Autofy Black 3 Piece Universal Handle Bar (For All Bikes),,B01M2ZVXUB,FALSE,1,1,1,1,Set of 3,SDL732185069,HandleBar Company-China,Dummy Red,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0002/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0002/,DEFAULT,,,2499,27/03/2017 20:37,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMHANDLE0003,Autofy Blue 3 Piece Universal Handle Bar (For All Bikes),B01MCW9H22,B01MCW9H22,FALSE,1,1,1,1,Set of 3,SDL786018366,HandleBar Company-China,Blue,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0003/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0003/,,,,2499,10/01/2017 11:07,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMHANDLE0004,Autofy Red 3 Piece Universal Handle Bar (For All Bikes),B01M8KY9NB,B01M8KY9NB,FALSE,1,1,1,1,Set of 3,SDL256866646,HandleBar Company-China,Red,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0004/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0004/,,,,2499,10/01/2017 11:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMHANDLE0005,Autofy Chrome 3 Piece Universal Handle Bar (For All Bikes),B01M5DZNSN,B01M5DZNSN,FALSE,1,1,1,1,Set of 4,SDL257712994,HandleBar Company-China,Chrome,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0005/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHANDLE0005/,,,,2499,20/02/2017 13:56,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMJACKET0001,Autofy Riding Gear Body Armour Jacket Freesize (Black),,VKAMJACKET0001,FALSE,1,1,1,1,1,,Riding-Tribe-China,Dummy Red,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMJACKET0001/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMJACKET0001/,,,,2499,04/01/2017 19:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
